bramborový salát (m.)	Kartoffelsalat	05 05-1 vorgefertigt
brambor (m.) // brambory	Kartoffel, Kartoffeln	05 05-2 vorgefertigt
dezert (m.) // moučník (m.)	Nachtisch, // Mehlspeise	05 05-3 vorgefertigt
guláš (m.)	Gulasch	05 05-4 vorgefertigt
hlavní jídlo (s.)	Hauptspeise	05 05-5 vorgefertigt
hovězí maso (s.)	Rindfleisch	05 05-6 vorgefertigt
hranol\textbf{\uline{e}}k (m.) // hranolky	Pommes, (plural)	05 05-7 vorgefertigt
kapr (m.bel.)	Karpfen	05 05-8 vorgefertigt
kroketa (w.)	Krokette	05 05-9 vorgefertigt
losos (m.bel.)	Lachs	05 05-10 vorgefertigt
omáčka (w.)	Soße	05 05-11 vorgefertigt
palačinka, palačinky	Eierkuchen, (plural)	05 05-12 vorgefertigt
pečené kuře (s.)	Brathendl	05 05-13 vorgefertigt
polévka (w.)	Suppe	05 05-14 vorgefertigt
pstruh (m.bel.)	Forelle	05 05-15 vorgefertigt
roláda (w.)	Roulade	05 05-16 vorgefertigt
rýže (w.)	Reis	05 05-17 vorgefertigt
ryba, ryby (w.)	Fisch	05 05-18 vorgefertigt
řízek (m.)	Schnitzel	05 05-19 vorgefertigt
smažený sýr (m.)	gebackener Käse	05 05-20 vorgefertigt
šlehačka (w.)	Schlagsahne	05 05-21 vorgefertigt
tatarská omáčka (w.)	Sauce Tatare	05 05-22 vorgefertigt
vepřové maso (s.)	Schweinefleisch	05 05-23 vorgefertigt
voda (w.)	Wasser	05 05-24 vorgefertigt
matematika (w.)	Mathematik	05 05-26 vorgefertigt
němčina (w.)	Deutsch	05 05-27 vorgefertigt
je o rok starší než	er ist um ein Jahr älter als	05 05-29 vorgefertigt
narozeniny (w.Mz.)	Geburtstag	05 05-31 vorgefertigt
dárek (m.)	Geschenk	05 05-32 vorgefertigt
překvapení (s.)	Überraschung	05 05-33 vorgefertigt
skříň (\textbf{w}.)	Kasten, Schrank	05 05-34 vorgefertigt
postel (\textbf{w}.)	Bett	05 05-35 vorgefertigt
knihovna (w.)	Bücherregal	05 05-36 vorgefertigt
květiny (w.Mz.)	Blumen	05 05-38 vorgefertigt
na	auf	05 05-39 vorgefertigt
pro	für	05 05-40 vorgefertigt
za (Wertangabe) // za tisíc korun	um … (Wert) // um Tausend Kronen	05 05-41 vorgefertigt
v (Zeitangaben) // v jednu hodinu // v pátek	um, am // um ein Uhr // am Freitag	05 05-42 vorgefertigt
o	um, über	05 05-43 vorgefertigt
nad	über (räumlich)	05 05-44 vorgefertigt
pod	unter	05 05-45 vorgefertigt
před	vor	05 05-46 vorgefertigt
za	hinter	05 05-47 vorgefertigt
mezi	zwischen	05 05-48 vorgefertigt
mě	mich	05 05-49 vorgefertigt
tě	dich	05 05-50 vorgefertigt
ho (m.) (s.)	ihn	05 05-51 vorgefertigt
ji	sie (4.Fall EZ weibl.)	05 05-52 vorgefertigt
nás	uns	05 05-53 vorgefertigt
vás	euch	05 05-54 vorgefertigt
je	sie (4.Fall MZ)	05 05-55 vorgefertigt
Je tady volno?	Ist hier frei?	05 05-56 vorgefertigt
Dám si …	Ich nehme…	05 05-57 vorgefertigt
Chtěl bych … (m.) // Chtěla bych… (w.)	Ich hätte gerne …	05 05-58 vorgefertigt
ještě jednou	noch einmal	05 05-59 vorgefertigt
Prosím účet. (m.)	Die Rechnung, bitte.	05 05-61 vorgefertigt
Zaplatím.	Ich bezahle.	05 05-62 vorgefertigt
Co si dáte?	Was nehmen Sie?	05 05-63 vorgefertigt
Co si přejete?	Was wünschen Sie?	05 05-64 vorgefertigt
Ještě něco?	Noch etwas?	05 05-65 vorgefertigt
Nemáte drobné?	Haben Sie kein Kleingeld?	05 05-66 vorgefertigt
A co k pití?	Und zu trinken?	05 05-67 vorgefertigt
Zvlášť nebo dohromady?	Getrennt oder zusammen?	05 05-68 vorgefertigt
v cukrárně (w.)	in der Konditorei	05 05-72 vorgefertigt
hovězí polévka (w.)	Rindsuppe	05 05-73 vorgefertigt
zelený čaj (m.)	grüner Tee	05 05-78 vorgefertigt
černá káva (w.)	schwarzer Kaffee	05 05-79 vorgefertigt
mít starosti (w.Mz.)	Sorgen haben	05 05-80 vorgefertigt
mít špatnou náladu (w.)	schlechte Laune haben	05 05-82 vorgefertigt
odskočím se	Ich geh mal schnell wo hin. (Klo)	05 05-96 vorgefertigt
dělat	machen, tun	06 06-1 vorgefertigt
britský, -á, -é	britisch	06 06-2 vorgefertigt
malíř (m.bel.) // malířka (w.)	Maler/in	06 06-3 vorgefertigt
spisovatel (m.bel.) // spisovatelka (w.)	Schriftsteller/in	06 06-4 vorgefertigt
kosmonaut (m.bel.) // kosmonautka (w.)	Astronaut/in	06 06-5 vorgefertigt
skladatel (m.bel.) // skladatelka (w.)	Komponist/in	06 06-6 vorgefertigt
maratonec (m.bel.) // maratonkyně (w.)	Marathonläufer/in	06 06-7 vorgefertigt
zpěvák (m.bel.) // zpěvačka (w.)	Sänger/in	06 06-8 vorgefertigt
zelenina (w.)	Gemüse	06 06-9 vorgefertigt
celý den (m.)	der ganze Tag der/ // den ganzen Tag	06 06-10 vorgefertigt
lidé (m.bel.)	Leute	06 06-11 vorgefertigt
věta (w.)	Satz	06 06-12 vorgefertigt
turista (m.bel.)	Tourist	06 06-13 vorgefertigt
který, která, které	welcher, welche, welches	06 06-14 vorgefertigt
často	oft, häufig	06 06-15 vorgefertigt
v roce	im Jahr	06 06-17 vorgefertigt
umřít	sterben	06 06-18 vorgefertigt
přijít	kommen	06 06-19 vorgefertigt
měřit	messen	06 06-20 vorgefertigt
hledat	suchen	06 06-21 vorgefertigt
začínat	beginnen	06 06-22 vorgefertigt
stavět	bauen	06 06-23 vorgefertigt
manželka (w.)	Ehefrau	06 06-26 vorgefertigt
poslední	der, die, das letzte	06 06-27 vorgefertigt
země (w.)	Land	06 06-29 vorgefertigt
narodit se	geboren werden	06 06-30 vorgefertigt
žít	leben	06 06-31 vorgefertigt
včera	gestern	06 06-32 vorgefertigt
moc dlouho	sehr lang	06 06-33 vorgefertigt
hrát na počítači hry (w.)	Computerspiele spielen	06 06-34 vorgefertigt
vlastně	eigentlich	06 06-35 vorgefertigt
strašně rád/ ráda/ rádo	schrecklich gern	06 06-36 vorgefertigt
předevčírem	vorgestern	06 06-37 vorgefertigt
ráno	am Morgen	06 06-38 vorgefertigt
minulý týden (m.)	letzte Woche	06 06-39 vorgefertigt
včera	gestern	06 06-40 vorgefertigt
potřebovat	brauchen	06 06-41 vorgefertigt
kupovat	kaufen	06 06-42 vorgefertigt
hodný, -á, -é	brav	06 06-43 vorgefertigt
kabát (m.)	Mantel	06 06-44 vorgefertigt
svetr (m.)	Pullover	06 06-45 vorgefertigt
kabelka (w.)	Handtasche	06 06-46 vorgefertigt
drahý, -á, -é	teuer	06 06-47 vorgefertigt
Jak \textbf{ses} měl?	Wie ist es dir // ergangen/gegeangen?	06 06-48 vorgefertigt
Jak to dopadlo?	Wie ist es ausgegangen?	06 06-49 vorgefertigt
Co se stalo?	Was ist passiert?	06 06-50 vorgefertigt
Zapomněl/a jsem..	Ich habe … vergessen.	06 06-51 vorgefertigt
poprvé	zum ersten Mal	06 06-52 vorgefertigt
řídit	fahren, lenken	06 06-55 vorgefertigt
naposled	zuletzt	06 06-56 vorgefertigt
plakat	weinen	06 06-57 vorgefertigt
brzo/brzy	zeitig, bald	06 06-58 vorgefertigt
nakonec	am Ende, schließlich	06 06-61 vorgefertigt
nedávno	unlängst, neulich	06 06-62 vorgefertigt
nejdřív	zuerst	06 06-63 vorgefertigt
pozdě	spät	06 06-65 vorgefertigt
později	später	06 06-66 vorgefertigt
včera	gestern	06 06-67 vorgefertigt
chudý, -á, -é	arm	06 06-68 vorgefertigt
nosit	tragen	06 06-69 vorgefertigt
boty (w.Mz.)	Schuhe	06 06-70 vorgefertigt
klobouk (m.)	Hut	06 06-71 vorgefertigt
knír (m.)	Schurrbart	06 06-72 vorgefertigt
hrát na trubku (w.)	Trompete spielen	06 06-73 vorgefertigt
točit film (m.)	einen Film drehen	06 06-74 vorgefertigt
jako kluk (m.bel.)	als Bub	06 06-75 vorgefertigt
nikdy	niemals	06 06-76 vorgefertigt
taky	auch	06 06-79 vorgefertigt
byt (m.)	Wohnung	07 07-1 vorgefertigt
hledat	suchen	07 07-3 vorgefertigt
veselý, -á, -é	fröhlich	07 07-4 vorgefertigt
